"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance","Referenced in"
"Action & Adventure","general term","018529331","Monograph","Language material ; Text","Online resource","GBB7I2890","","9780141347349 ; 9781101653029","Dahl, Roald","","person","","Blake, Quentin, illustrator [person] ; Dahl, Roald [person]","Esio Trot","","","","United States of America","New York","Puffin","2009","","1 online resource (62 pages), illustrations","813.6","ELD.DS.196164","Fiction","English","'Ages 8-12'--Cover p [4] ; reprinted Originally published in 1990","",""
"Action & Adventure","general term","018530273","Monograph","Language material ; Text","Online resource","GBB7I3683","","9780141929842 ; 9781101652985","Wood, David","1944-","person","adaptor","Wood, David, 1944-, adaptor [person] ; Dahl, Roald, author [person]","Fantastic Mr Fox","Fantastic Mister Fox","","","England ; United States of America","New York","Samuel French","2003","","1 online resource","822.92","ELD.DS.197106","Children's book ; Children's fiction ; Drama ; Fiction","English","Electronic book","",""
"Actors--United States--Biography","general term","013881385","Monograph","Language material ; Text","Volume","","","","Farrell, Barry","","person","","Farrell, Barry [person]","Pat and Roald","","","","United States of America","New York","Random House","1969","","241 pages, portraits, 22 cm","791.430280924","AL69/8330","","English","","",""
"Adams, Richard, 1920-2016--Translations into Spanish--History and criticism","person","013080997","Monograph","Language material ; Text","Volume","","","9788497730822","González Cascallana, Belén","","person","","González Cascallana, Belén [person]","Translation and intertextuality : a descriptive study of contemporary British children fantasy literature in Spain (1970-2000)","","Serie Tesis doctorales (Universidad de León)","","Spain","León","Universidad de León, Secretariado de Publicaciones y Medios Audiovisuales","2003","","37, xi, 510 pages, 24 cm","","YD.2005.a.3828","","English ; Spanish","","",""
"Adulthood--Sexual behavior--Fiction","general term","007469198","Monograph","Language material ; Text","Sheet","GB9955486","","9781860920349","Dahl, Roald","","person","","Dahl, Roald [person]","The great switcheroo","","Travelman sex ; Travelman short stories","number 1 [Travelman sex]","England","London","Travelman","1998","","1 sheet, 39 x 46 cm folded to 20 x 10 cm","823.914","H.2000/1839","Fiction","English","","",""
"Adventure stories (Children's / Teenage)","general term","018409956","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB7B5478","","9780141377513","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Billy and the Minpins","","","","England","London","Puffin","2017","New edition, illustrated by Quentin Blake","1 online resource, colour illustrations","823.914","ELD.DS.191655","Children's fiction","English","Additional physical form: Print version. 9780141377506","",""
"Adventure stories (Children's / Teenage)","general term","019142826","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB8M0441","","9780241399514","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Billy and the Minpins","Minpins","","","England","London","Puffin","2019","Colour edition, illustrated by Quentin Blake","1 online resource, colour illustrations","823.914","ELD.DS.369485","Children's fiction","English","Additional physical form: Print version. 9780141377537","",""
"Africa, East","geographical term","019022307","Monograph","Language material ; Text","Online resource","GBB8F7524","","9780141965338","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","United Kingdom","","Penguin","2012","","1 online resource, illustrations, maps","823.914","ELD.DS.319948","Biography ; Children's literature ; Personal narrative","English","Originally published in print: Great Britain : Jonathan Cape, 1986","",""
"Air Forces & Warfare","general term","019022307","Monograph","Language material ; Text","Online resource","GBB8F7524","","9780141965338","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","United Kingdom","","Penguin","2012","","1 online resource, illustrations, maps","823.914","ELD.DS.319948","Biography ; Children's literature ; Personal narrative","English","Originally published in print: Great Britain : Jonathan Cape, 1986","",""
"Animal stories (Children's / Teenage)","general term","018386010","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB7A3585","","9780141378428","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","The enormous crocodile","","","","England","London","Puffin","2016","","1 online resource, colour illustrations","823.914","ELD.DS.194571","Children's fiction ; Humour or satire","English","Additional physical form: Print version. 9780141369303 ; Previously issued in print: London: Jonathan Cape, 1978","",""
"Animal stories (Children's / Teenage)","general term","018513768","Monograph","Language material ; Text","Online resource","GBB7J4027","","9780141378565","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Esio trot","","","","England","London","Puffin","2013","","1 online resource, colour illustrations","823.914","ELD.DS.185631","Children's fiction ; Fiction ; Humour or satire","English","Originally published: London: Jonathan Cape, 1990","",""
"Animal stories (Children's / Teenage)","general term","018525785","Monograph","Language material ; Text","Online resource","GBB8E2424","","9780141378497","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","The giraffe and the pelly and me","","","","England ; United Kingdom","London","Puffin","2016","","1 online resource (36 pages)","823.914","ELD.DS.192722","Children's fiction ; Humour or satire","English","","",""
"Animal stories (Children's / Teenage)","general term","018529331","Monograph","Language material ; Text","Online resource","GBB7I2890","","9780141347349 ; 9781101653029","Dahl, Roald","","person","","Blake, Quentin, illustrator [person] ; Dahl, Roald [person]","Esio Trot","","","","United States of America","New York","Puffin","2009","","1 online resource (62 pages), illustrations","813.6","ELD.DS.196164","Fiction","English","'Ages 8-12'--Cover p [4] ; reprinted Originally published in 1990","",""
"Animal stories (Children's / Teenage)","general term","018530871","Monograph","Language material ; Text","Online resource","GBB7I3937","","9780141963464","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The giraffe and the pelly and me","","Picture Puffins","","England","Harmondsworth","Puffin","2008","","1 online resource, colour illustrations","823.914","ELD.DS.197583","Children's fiction ; Fiction ; Humour or satire","English","","",""
"Animals","general term","018513765","Monograph","Language material ; Text","Online resource","GBB7H3863","","9780141378480","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","The magic finger","","","","England ; United Kingdom","London","Puffin","2016","","1 online resource (64 pages)","823.914","ELD.DS.185628","Children's fiction ; Fiction","English","","",""
"Animals--Fiction","general term","018530273","Monograph","Language material ; Text","Online resource","GBB7I3683","","9780141929842 ; 9781101652985","Wood, David","1944-","person","adaptor","Wood, David, 1944-, adaptor [person] ; Dahl, Roald, author [person]","Fantastic Mr Fox","Fantastic Mister Fox","","","England ; United States of America","New York","Samuel French","2003","","1 online resource","822.92","ELD.DS.197106","Children's book ; Children's fiction ; Drama ; Fiction","English","Electronic book","",""
"Animals--Juvenile fiction","general term","018513765","Monograph","Language material ; Text","Online resource","GBB7H3863","","9780141378480","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","The magic finger","","","","England ; United Kingdom","London","Puffin","2016","","1 online resource (64 pages)","823.914","ELD.DS.185628","Children's fiction ; Fiction","English","","",""
"Animals--Juvenile poetry","general term","007362583","Monograph","Language material ; Text","Volume","GB8302232","","9780224020534","Dahl, Roald","","person","","Fawcett, Rosemary [person] ; Dahl, Roald [person]","Dirty beasts","","","","England","London","Cape","1983","","36 pages, illustrations (some colour), 29 cm","821.912","X.992/5124","","English","","",""
"Animals--Juvenile poetry","general term","007362763","Monograph","Language material ; Text","Volume","GB8425007","","9780224022934","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Dirty beasts","","","","England","London","Cape","1984","","30 pages, colour illustrations, 29 cm","821.914","X.992/5539","","English","","",""
"Animals--Juvenile poetry","general term","011933022","Monograph","Language material ; Text","Volume","GB8718344","","9780140504354","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Dirty beasts","","Picture Puffins","","England","Harmondsworth","Puffin","1986","","32 pages, colour illustrations, 23 cm","821.912","YK.1987.a.1865","","English","Originally published: London : Cape, 1983 ; Text on inside cover","",""
"Animals--Poetry","general term","007362583","Monograph","Language material ; Text","Volume","GB8302232","","9780224020534","Dahl, Roald","","person","","Fawcett, Rosemary [person] ; Dahl, Roald [person]","Dirty beasts","","","","England","London","Cape","1983","","36 pages, illustrations (some colour), 29 cm","821.912","X.992/5124","","English","","",""
"Animals--Poetry","general term","007362763","Monograph","Language material ; Text","Volume","GB8425007","","9780224022934","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Dirty beasts","","","","England","London","Cape","1984","","30 pages, colour illustrations, 29 cm","821.914","X.992/5539","","English","","",""
"Animals--Poetry","general term","011933022","Monograph","Language material ; Text","Volume","GB8718344","","9780140504354","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Dirty beasts","","Picture Puffins","","England","Harmondsworth","Puffin","1986","","32 pages, colour illustrations, 23 cm","821.912","YK.1987.a.1865","","English","Originally published: London : Cape, 1983 ; Text on inside cover","",""
"Anthologies (Children's / Teenage)","general term","018506799","Monograph","Language material ; Text","Online resource","GBB839775","","9780141378466","Dahl, Roald","","person","","Dahl, Roald [person]","Roald Dahl's glorious galumptious story collection","Glorious galumptious story collection","","","England ; United Kingdom","London","Puffin","2016","","1 online resource (480 pages)","823.914","ELD.DS.180402","","English","","",""
"Aunts--England--Juvenile fiction","general term","011348033","Monograph","Language material ; Text","Volume","GB9973270","","9780670885770","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","James and the giant peach","","","","England","London","Puffin","1999","","124 pages, 27 cm","823.914","YK.2001.b.1712","Children's fiction ; Fantasy","English","Originally published: 1961","",""
"Authors, English","general term","018529332","Monograph","Language material ; Text","Online resource","GBB7I2891","","9780141335209","Rosen, Michael","1946-","person","","Blake, Quentin, illustrator [person] ; Rosen, Michael, 1946- [person]","Fantastic Mr Dahl","Fantastic Mister Dahl ; Mr Dahl","","","England ; United States of America","London ; New York","Puffin","2012","","1 online resource (162 pages), illustrations","823.914","ELD.DS.196165","Biography ; Children's literature","English","","",""
"Authors, English","general term","018529493","Monograph","Language material ; Text","Online resource","GBB7I3032","","9780141903125","Dahl, Roald","","person","","Dahl, Roald [person]","Boy : tales of childhood","","","","United States of America","New York","Puffin","2008","","1 online resource (176 pages), illustrations, facsimiles, portraits","823.91","ELD.DS.196326","Biography ; Children's literature","English","","",""
"Authors, English","general term","018530873","Monograph","Language material ; Text","Online resource","GBB7I3939","","9780141963488","Dahl, Roald","","person","","Dahl, Roald [person]","More about Boy : Roald Dahl's tales from childhood","","","","England","London","Puffin","2008","","1 online resource, illustrations","823.914","ELD.DS.197585","Biography ; Children's literature","English","","",""
"Authors, English","general term","019022307","Monograph","Language material ; Text","Online resource","GBB8F7524","","9780141965338","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","United Kingdom","","Penguin","2012","","1 online resource, illustrations, maps","823.914","ELD.DS.319948","Biography ; Children's literature ; Personal narrative","English","Originally published in print: Great Britain : Jonathan Cape, 1986","",""
"Authors, English--20th century--Biography","general term","007362863","Monograph","Language material ; Text","Volume","GB8613687","","9780224024075","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","England","London","Cape","1986","","120 pages, 24 cm","823.912","YH.1987.b.588","","English","","",""
"Authors, English--20th century--Biography","general term","007375103","Monograph","Language material ; Text","Volume","GB8841242","","9780435123239","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","Heinemann new windmills","","England","London","Heinemann","1988","","208 pages, illustrations, 2 maps, facsimiles, portraits, 20 cm","823.912","YK.1988.a.3899","","English","Originally published: London : Cape, 1986","",""
"Authors, English--20th century--Biography","general term","008426736","Monograph","Language material ; Text","Sheet","GB8714657","","9781850891666","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","England","Oxford","ISIS Large","1987","","205 pages (large print), illustrations, facsimiles, 1 map, portraits, 24 cm","823.912","","","English","Originally published: London : Cape, 1986","",""
"Authors, English--20th century--Biography","general term","010070559","Monograph","Language material ; Text","Volume","GB9519033","","9780571165728","Treglown, Jeremy","","person","","Treglown, Jeremy [person]","Roald Dahl : a biography","","","","England","London","Faber & Faber","1995","","xi, 307 pages, 16 pages of plates, illustrations, facsimiles, portraits, 20 cm","823.914","99/19072 ; YK.1996.a.4702","","English","Includes index","",""
"Authors, English--20th century--Biography","general term","011307132","Monograph","Language material ; Text","Volume","GB9013664","","9780140089172","Dahl, Roald","","person","","Dahl, Roald [person]","Boy : tales of childhood","","","","England","London","Penguin","1986","","176 pages, illustrations, portraits, 20 cm","823.912","YC.1990.a.1720","","English","Originally published: London : Cape, 1984","",""
"Authors, English--20th century--Biography","general term","011307514","Monograph","Language material ; Text","Volume","GB8846396","","9780140103069","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","England","Harmondworth","Penguin","1987","","209 pages, illustrations, map, facsimiles, portraits, 20 cm","823.912","YC.1988.a.9382","","English","Originally published: London : Cape, 1986","",""
"Authors, English--20th century--Biography","general term","011930011","Monograph","Language material ; Text","Volume","GB8916534","","9780140325287","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","England","London","Puffin","1988","","209 pages, illustrations, maps, facsimiles, portraits, 20 cm","823.912","YC.1988.a.15137","","English","Originally published: London : Cape, 1986","",""
"Authors, English--20th century--Biography","general term","013881385","Monograph","Language material ; Text","Volume","","","","Farrell, Barry","","person","","Farrell, Barry [person]","Pat and Roald","","","","United States of America","New York","Random House","1969","","241 pages, portraits, 22 cm","791.430280924","AL69/8330","","English","","",""
"Authors, English--20th century--Biography","general term","015946686","Monograph","Language material ; Text","Volume","GBB1B8135","","9780241955796","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","England","London","Penguin","2012","","223 pages, illustrations, maps, portraits, 20 cm","823.914","YC.2012.a.16359","Biography ; Personal narrative","English","Originally published: London: Jonathan Cape, 1986","",""
"Authors, English--20th century--Biography","general term","017915784","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB694844","","9781504038591","Treglown, Jeremy","","person","author","Treglown, Jeremy, author [person]","Roald Dahl : a biography","","","","United States of America","New York","Open Road Media","2016","","1 online resource","823.914","","Biography","English","","",""
"Authors, English--20th century--Biography","general term","019055114","Monograph","Language material ; Text","Volume","GBB8H1871","","9781526722072","Cohen, Nadia","","person","author","Cohen, Nadia, author [person]","The real Roald Dahl","","","","England","Barnsley","Pen & Sword History","2018","","viii, 146 pages, 8 unnumbered pages of plates, illustrations, 24 cm","823.914","YK.2019.a.5198","Biography","English","","",""
"Authors, English--20th century--Biography","general term","019394305","Monograph","Language material ; Text","Volume","GBB983728","","9781526751768","Cohen, Nadia","","person","author","Cohen, Nadia, author [person]","The real Roald Dahl","","","","England","Barnsley","Pen & Sword History","2019","","1 volume, 24 cm","823.914","","Biography","English","","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","006718918","Monograph","Language material ; Text","Volume","GBA1Z3839","","9780141311418","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Boy : and, Going solo","Going solo","","","England","London","Puffin","2001","","393 pages, illustrations, maps, portraits, 20 cm","823.914","YC.2001.a.6072","Biography ; Children's literature","English","Originally published: London : Penguin, 1992","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","007363275","Monograph","Language material ; Text","Volume","GB8425009","","9780224029858","Dahl, Roald","","person","","Dahl, Roald [person]","Boy : tales of childhood","","","","England","London","Cape","1984","","160 pages, illustrations, facsimiles, portraits, 24 cm","823.912","X.990/23872","","English","portraits on lining papers","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","007375206","Monograph","Language material ; Text","Volume","GB9730952","","9780435124625","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","My year : Roald Dahl","","Heinemann new windmills","","England","Oxford","Heinemann","1997","","76 pages, illustrations, 20 cm","823.914","YK.1997.a.2979","","English","Originally published: London : Jonathan Cape, 1993","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","008041239","Monograph","Language material ; Text","Volume","GB97X3302","","9780237517625","Powling, Chris","","person","","Powling, Chris [person]","Roald Dahl","","Tell me about. Writers","4 [Tell me about. Writers]","England","London","Evans","1997","","22 pages, illustrations (some colour), portraits (some colour), 22 cm","823.914","YK.1998.a.4914","","English","Includes index","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","008041468","Monograph","Language material ; Text","Volume","GB9420747","","9780237600105","Powling, Chris","","person","","Gulbis, Stephen [person] ; Powling, Chris [person]","Roald Dahl","","","","England","London","Evans","1993","New edition","80 pages","823.912","YK.1994.a.5654","","English","","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","008043297","Monograph","Language material ; Text","Volume","GB8427731","","9780241110430","Powling, Chris","","person","","Gulbis, Stephen [person] ; Powling, Chris [person]","Roald Dahl","","Profiles","","England","Hamilton ; London","","1983","","64 pages, illustrations, portraits, 22 cm","823.912","X.950/32807","","English","","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","009694748","Monograph","Language material ; Text","Volume","GBA1Z9904","","9780141311401","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Boy : tales of childhood","","","","England","London","Puffin","2001","New edition","176 pages, illustrations, 20 cm","823.914","","","English","Originally published: London: Jonathan Cape, 1984","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","010982941","Monograph","Language material ; Text","Volume","GB99X3990","","9780431086149","Rowley, John","","person","","Rowley, John [person]","Roald Dahl","","","","England","Oxford","Heinemann Library","1999","","56 pages, colour illustrations, 25 cm","823.912","","","English","Originally published: 1998","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","011929621","Monograph","Language material ; Text","Volume","GB8741798","","9780140317527","Powling, Chris","","person","","Gulbis, Stephen [person] ; Powling, Chris [person]","Roald Dahl","","","","England","Harmondsworth","Puffin","1985","Revised edition","81 pages, illustrations, 1 facsimile, portraits, 18 cm","823.912","YC.1987.a.8140","","English","Previous edition: London : Hamilton, 1983","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","011929699","Monograph","Language material ; Text","Volume","GB8726682","","9780140318906","Dahl, Roald","","person","","Dahl, Roald [person]","Boy : tales of childhood","","","","England","Harmondsworth","Puffin","1986","","176 pages, illustrations, facsimiles, portraits, 20 cm","823.912","YC.1987.a.4608","","English","Originally published: London : Cape, 1984","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","012606724","Monograph","Language material ; Text","Volume","GB97X7130","","9780199104345 ; 9780199104406 ; 9780199186549","Shavick, Andrea","","person","","Shavick, Andrea [person] ; Marks, Alan, 1957- [person]","Roald Dahl : the champion storyteller","","What's their story?","","England","Oxford","Oxford University Press","1997","","32 pages, colour illustrations, 23 cm","823.914","YK.1998.a.8199","","English","Includes index","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","012626310","Monograph","Language material ; Text","Volume","GB98Y6438","","9780431086071 ; 9780431086149","Middleton, Haydn","","person","","Middleton, Haydn [person]","Roald Dahl","","Heinemann profiles","","England","Oxford","Heinemann Library","1998","","56 pages, illustrations (some colour), facsimiles, portraits, 26 cm","823.912","YK.1998.b.9364","","English","Includes index","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","014632961","Monograph","Language material ; Text","Volume","GBA872919","","9780141322773","Dahl, Roald","","person","","Dahl, Roald [person]","Boy : and, Going solo","Going solo","","","England","London","Puffin","2008","","393 pages, illustrations, 2 maps, 20 cm","823.914","YK.2010.a.1749","Biography ; Children's literature","English","Originally published: London : Penguin, 1992","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","014632970","Monograph","Language material ; Text","Volume","GBA872928","","9780141324470","Dahl, Roald","","person","","Dahl, Roald [person]","More about Boy : Roald Dahl's tales from childhood","","","","England","London","Puffin","2008","New edition","223, 5 pages, illustrations, 23 cm","823.914","YK.2009.a.19831","Biography ; Children's literature","English","","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","014883255","Monograph","Language material ; Text","Volume","GBA905883","","9780199119615","Shavick, Andrea","","person","","Shavick, Andrea [person] ; Marks, Alan, 1957- [person]","Roald Dahl : the champion storyteller","","True lives","","England","Oxford","Oxford University Press","2009","","1 volume, colour illustrations, 22 cm","823.914","","Biography ; Children's literature","English","Includes index ; Originally published: 1997","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","015884998","Monograph","Language material ; Text","Volume","GBB1A5832","","9781406234534","Guillain, Charlotte","","person","","Guillain, Charlotte [person]","Roald Dahl","","Author biographies ; Read and learn","","England","London","Raintree","2012","","24 pages, colour illustrations, portraits (some colour), 23 cm","823.914","YK.2012.a.24135","Biography ; Children's literature","English","","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","016081644","Monograph","Language material ; Text","Volume","GBB244618","","9780141322131","Rosen, Michael","1946-","person","","Rosen, Michael, 1946- [person]","Fantastic Mr Dahl","","","","England","London","Puffin","2012","","162 pages, illustrations, 20 cm","823.914","YK.2013.a.9295","Biography ; Children's literature","English","","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","017692303","Monograph","Language material ; Still image ; Text","Volume","GBB600731","","9780141367378","Dahl, Roald","","person","author","Dahl, Roald, author [person]","More about Boy","Boy","","","England","London","Puffin","2016","New edition","223 pages, black and white illustrations, 23 cm","823.914","","Biography ; Children's literature","English","This edition originally published: 2008","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","017834528","Monograph","Language material ; Still image ; Text","Volume","GBB661065","","9781445151595","Fischel, Emma","","person","author","Fischel, Emma, author [person]","The life of Roald Dahl : a marvellous adventure","","","","England","London","Franklin Watts","2016","Illustrated edition","1 volume, illustrations, 20 cm","823.914","","Biography ; Children's literature","English","","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","018529332","Monograph","Language material ; Text","Online resource","GBB7I2891","","9780141335209","Rosen, Michael","1946-","person","","Blake, Quentin, illustrator [person] ; Rosen, Michael, 1946- [person]","Fantastic Mr Dahl","Fantastic Mister Dahl ; Mr Dahl","","","England ; United States of America","London ; New York","Puffin","2012","","1 online resource (162 pages), illustrations","823.914","ELD.DS.196165","Biography ; Children's literature","English","","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","018529348","Monograph","Language material ; Text","Online resource","GBB7I2903","","9780141378459","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald [person] ; Dahl, Roald, author [person]","Boy and, Going solo","Boy ; Going solo","","","England","London","Puffin","2016","","1 online resource (441 pages), illustrations, maps","823.914","ELD.DS.196181","Autobiography ; Biography ; Children's literature","English","Boy. Originally published: London : Cape, 1984. Going solo. Originally published: London : Cape, 1986","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","018529493","Monograph","Language material ; Text","Online resource","GBB7I3032","","9780141903125","Dahl, Roald","","person","","Dahl, Roald [person]","Boy : tales of childhood","","","","United States of America","New York","Puffin","2008","","1 online resource (176 pages), illustrations, facsimiles, portraits","823.91","ELD.DS.196326","Biography ; Children's literature","English","","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","018530873","Monograph","Language material ; Text","Online resource","GBB7I3939","","9780141963488","Dahl, Roald","","person","","Dahl, Roald [person]","More about Boy : Roald Dahl's tales from childhood","","","","England","London","Puffin","2008","","1 online resource, illustrations","823.914","ELD.DS.197585","Biography ; Children's literature","English","","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","019008945","Monograph","Language material ; Text","Volume","GBB8E6902","","9781626172708","Leaf, Christina","","person","author","Leaf, Christina, author [person]","Roald Dahl","","Blastoff! readers: children's storytellers, level 4: early fluent/fluent","","United States of America","Minneapolis, Minnesota","Bellwether Media","2016","","24 pages, illustrations (chiefly colour), 1 map, 24 cm","823.914","YKL.2019.a.12197","Biography ; Children's literature","English","","",""
"Authors, English--20th century--Biography--Juvenile literature","general term","019022307","Monograph","Language material ; Text","Online resource","GBB8F7524","","9780141965338","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","United Kingdom","","Penguin","2012","","1 online resource, illustrations, maps","823.914","ELD.DS.319948","Biography ; Children's literature ; Personal narrative","English","Originally published in print: Great Britain : Jonathan Cape, 1986","",""
"Authors, English--20th century--Biography--Juvenile literature--Translations into Hungarian","general term","013219519","Monograph","Language material ; Text","Volume","","","9789637276071","Dahl, Roald","","person","","Dahl, Roald [person]","Roald Dahl meghökkentő élete","Boy. Hungarian ; Going solo","","","Hungary","Budapest","Sirály","2005","","359, 5 pages, 20 cm","","YF.2005.a.30163","Biography ; Children's literature ; Translations into Hungarian","Hungarian","'A mű Roald Dahl 'Boy (Tales of childhood) ' ... illetve 'Going solo' ... c. művei alapján készült' - verso t.p","",""
"Authors, English--20th century--Biography--Pictorial works--Juvenile literature","general term","016131229","Monograph","Language material ; Text","Volume","GBB272626","","9781406234596","Guillain, Charlotte","","person","","Guillain, Charlotte [person]","Roald Dahl","","Author biographies","","England","London","Raintree","2013","","1 volume, chiefly portraits, 22 cm","823.914","","Biography ; Children's literature ; Pictorial work","English","Originally published: 2012","",""
"Authors, English--20th century--Miscellanea--Juvenile literature","general term","012937473","Monograph","Language material ; Text","Volume","GBA445569","","9780670914166","","","","","Cooling, Wendy [person]","D is for Dahl","","","","England","London","Puffin","2004","","160 pages, illustrations, 20 cm","823.914","","Children's literature","English","","",""
"Authors, English--20th century--Miscellanea--Juvenile literature","general term","013205376","Monograph","Language material ; Text","Volume","GBA543703","","9780141312729","","","","","Blake, Quentin [person] ; Cooling, Wendy [person]","D is for Dahl : a gloriumptious A-Z guide to the world of Roald Dahl","","","","England","London","Puffin","2005","","6, 147, 7 pages, illustrations, portraits, 20 cm","823.914","YK.2006.a.19187","Children's literature","English","Originally published: 2004","",""
"Authors, Welsh--20th century--Biography","general term","009052938","Monograph","Language material ; Text","Volume","GBA308716","","9780140103069","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","England","London","Penguin","2002","","209 pages, illustrations, maps, portraits, 20 cm","","","Biography ; Personal narrative","English","Originally published: Jonathan Cape, 1986","",""
"Authors, Welsh--20th century--Biography--Juvenile literature","general term","009694749","Monograph","Language material ; Text","Volume","GBA139754","","9780141311425","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","England","London","Puffin","2001","","209 pages, illustrations, maps, portraits, 20 cm","","","Biography ; Children's literature","English","Originally published: Jonathan Cape, 1986","",""
"Authorship--Juvenile literature","general term","019599637","Monograph","Language material ; Still image ; Text","Volume","GBB9H9114","","9780241384602","","","","","Dahl, Roald [person]","Roald Dahl creative writing with the Twits : remarkable reasons to write","Creative writing with the Twits ; Twits","","","England","London","Puffin","2020","","1 volume, illustrations, 30 cm","808.02","","Children's literature","English","","",""
"Authorship--Technique--Juvenile literature","general term","019113947","Monograph","Language material ; Text","Volume","GBB8K1009","","9780241384572","","","","","","Roald Dahl's creative writing with the BFG : how to write splendid settings","","","","England","London","Puffin","2019","","30 pages, illustrations, 30 cm","808.02","YKL.2019.b.4994","Children's literature","English","","",""
"Autobiography: Literary","general term","018529348","Monograph","Language material ; Text","Online resource","GBB7I2903","","9780141378459","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald [person] ; Dahl, Roald, author [person]","Boy and, Going solo","Boy ; Going solo","","","England","London","Puffin","2016","","1 online resource (441 pages), illustrations, maps","823.914","ELD.DS.196181","Autobiography ; Biography ; Children's literature","English","Boy. Originally published: London : Cape, 1984. Going solo. Originally published: London : Cape, 1986","",""
"Autobiography: Literary","general term","018529493","Monograph","Language material ; Text","Online resource","GBB7I3032","","9780141903125","Dahl, Roald","","person","","Dahl, Roald [person]","Boy : tales of childhood","","","","United States of America","New York","Puffin","2008","","1 online resource (176 pages), illustrations, facsimiles, portraits","823.91","ELD.DS.196326","Biography ; Children's literature","English","","",""
